Order_ID,Timestamp,Day,Time,Hour,Process,Machine_ID,Status_x,Target_Production,Actual_Production,Utilization (%),Priority,Utilastion Split,Date,Shift,Machine_Status,Quantity
ORD-001,21-06-2025,21,00:00:00,0.00,Cutting,CUT-M2,Working,40,35,87.5,Low,High,21-06-2025,Shift C,Working,9600
ORD-001,21-06-2025,21,01:00:00,1.00,Cutting,CUT-M2,Working,40,40,100,Low,High,21-06-2025,Shift C,Working,9600
ORD-001,21-06-2025,21,02:00:00,2.00,Cutting,CUT-M2,Working,40,41,102.5,Low,High,21-06-2025,Shift C,Working,9600
ORD-001,21-06-2025,21,03:00:00,3.00,Cutting,CUT-M2,Working,40,38,95,Low,High,21-06-2025,Shift C,Working,9600
ORD-001,21-06-2025,21,04:00:00,4.00,Cutting,CUT-M2,Breakdown,40,0,0,Low,Unplanned Downtime,21-06-2025,Shift C,Breakdown,9600
ORD-001,21-06-2025,21,05:00:00,5.00,Cutting,CUT-M2,Working,40,23,57.5,Low,Low,21-06-2025,Shift C,Working,9600
ORD-001,21-06-2025,21,06:00:00,6.00,Cutting,CUT-M2,Working,40,20,50,Low,Low,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,07:00:00,7.00,Cutting,CUT-M2,Working,40,38,95,Low,High,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,08:00:00,8.00,Cutting,CUT-M2,Working,40,36,90,Low,High,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,09:00:00,9.00,Cutting,CUT-M2,Working,40,37,92.5,Low,High,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,10:00:00,10.00,Cutting,CUT-M2,Working,40,35,87.5,Low,High,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,11:00:00,11.00,Cutting,CUT-M2,Working,40,35,87.5,Low,High,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,12:00:00,12.00,Cutting,CUT-M2,Working,40,36,90,Low,High,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,13:00:00,13.00,Cutting,CUT-M2,Working,40,35,87.5,Low,High,21-06-2025,Shift A,Working,9600
ORD-001,21-06-2025,21,14:00:00,14.00,Cutting,CUT-M2,Working,40,38,95,Low,High,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,15:00:00,15.00,Cutting,CUT-M2,Working,40,37,92.5,Low,High,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,16:00:00,16.00,Cutting,CUT-M2,Working,40,35,87.5,Low,High,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,17:00:00,17.00,Cutting,CUT-M2,Working,40,35,87.5,Low,High,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,18:00:00,18.00,Cutting,CUT-M2,Working,40,37,92.5,Low,High,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,19:00:00,19.00,Cutting,CUT-M2,Working,40,34,85,Low,Medium,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,20:00:00,20.00,Cutting,CUT-M2,Working,40,34,85,Low,Medium,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,21:00:00,21.00,Cutting,CUT-M2,Working,40,41,102.5,Low,High,21-06-2025,Shift B,Working,9600
ORD-001,21-06-2025,21,22:00:00,22.00,Cutting,CUT-M2,Working,40,36,90,Low,High,21-06-2025,Shift C,Working,9600
ORD-001,21-06-2025,21,23:00:00,23.00,Cutting,CUT-M2,Working,40,38,95,Low,High,21-06-2025,Shift C,Working,9600
ORD-001,22-06-2025,22,00:00:00,0.00,Cutting,CUT-M2,Working,40,37,92.5,Low,High,22-06-2025,Shift C,Working,9600
ORD-001,22-06-2025,22,01:00:00,1.00,Cutting,CUT-M2,Working,40,38,95,Low,High,22-06-2025,Shift C,Working,9600
ORD-001,22-06-2025,22,02:00:00,2.00,Cutting,CUT-M2,Breakdown,40,0,0,Low,Unplanned Downtime,22-06-2025,Shift C,Breakdown,9600
ORD-001,22-06-2025,22,03:00:00,3.00,Cutting,CUT-M2,Working,40,17,42.5,Low,Low,22-06-2025,Shift C,Working,9600
ORD-001,22-06-2025,22,04:00:00,4.00,Cutting,CUT-M2,Working,40,22,55,Low,Low,22-06-2025,Shift C,Working,9600
